Date,Expenses,Category,Amount,Municipality,Province,Region,ID
2020-02-05,Eating/Going Out,Optional,11.0,Quezon City,Metro Manila,National Capital Region,E2020-60
2020-02-05,Eating/Going Out,Optional,79.0,Quezon City,Metro Manila,National Capital Region,E2020-61
2020-02-05,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-62
2020-02-05,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-63
2020-02-05,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-64
2020-02-06,Food/Drinks,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-65
2020-02-06,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-66
2020-02-06,Food/Drinks,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-67
2020-02-07,Food/Drinks,Optional,60.0,Quezon City,Metro Manila,National Capital Region,E2020-68
2020-02-08,Food/Drinks,Optional,24.0,Quezon City,Metro Manila,National Capital Region,E2020-69
2020-02-08,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-70
2020-02-09,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-71
2020-02-09,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-72
2020-02-09,Food/Drinks,Optional,15.0,Quezon City,Metro Manila,National Capital Region,E2020-73
2020-02-10,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-74
2020-02-10,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-75
2020-02-11,Eating/Going Out,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-76
2020-02-11,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-77
2020-02-11,Grocery,Survival,75.0,Quezon City,Metro Manila,National Capital Region,E2020-78
2020-02-11,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-79
2020-02-11,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-80
2020-02-12,Food/Drinks,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-81
2020-02-12,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-82
2020-02-12,Transportation,Survival,18.0,Quezon City,Metro Manila,National Capital Region,E2020-83
2020-02-13,Transportation,Survival,18.0,Quezon City,Metro Manila,National Capital Region,E2020-84
2020-02-13,Eating/Going Out,Optional,487.0,Quezon City,Metro Manila,National Capital Region,E2020-85
2020-02-13,Hair Cut,Survival,50.0,Quezon City,Metro Manila,National Capital Region,E2020-86
2020-02-14,Transportation,Survival,157.0,Quezon City,Metro Manila,National Capital Region,E2020-87
2020-02-14,Eating/Going Out,Optional,170.0,Quezon City,Metro Manila,National Capital Region,E2020-88
2020-02-14,Grocery,Survival,965.9,Quezon City,Metro Manila,National Capital Region,E2020-89
2020-02-15,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-90
2020-02-16,Transportation,Optional,40.0,Quezon City,Metro Manila,National Capital Region,E2020-91
2020-02-16,Eating/Going Out,Optional,245.0,Quezon City,Metro Manila,National Capital Region,E2020-92
2020-02-17,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-93
2020-02-17,Grocery,Survival,179.25,Quezon City,Metro Manila,National Capital Region,E2020-94
2020-02-17,Transportation,Survival,41.0,Quezon City,Metro Manila,National Capital Region,E2020-95
2020-02-18,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-96
2020-02-18,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-97
2020-02-18,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-98
2020-02-18,Home,Obligation,200.0,Quezon City,Metro Manila,National Capital Region,E2020-99
2020-02-19,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-100
2020-02-19,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-101
2020-02-19,Grocery,Survival,63.25,Quezon City,Metro Manila,National Capital Region,E2020-102
2020-02-19,Clothing/Shoes/Personal Items,Optional,665.15,Quezon City,Metro Manila,National Capital Region,E2020-103
2020-02-20,Food/Drinks,Optional,175.0,Quezon City,Metro Manila,National Capital Region,E2020-104
2020-02-20,Eating/Going Out,Optional,59.0,Quezon City,Metro Manila,National Capital Region,E2020-105
2020-02-20,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-106
2020-02-20,Food/Drinks,Optional,25.0,Quezon City,Metro Manila,National Capital Region,E2020-107
2020-02-20,Garbage,Obligation,20.0,Quezon City,Metro Manila,National Capital Region,E2020-108
2020-02-21,Electricity/Water,Obligation,366.0,Quezon City,Metro Manila,National Capital Region,E2020-109
2020-02-21,Food/Drinks,Optional,37.0,Quezon City,Metro Manila,National Capital Region,E2020-110
2020-02-22,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-111
2020-02-23,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-112
2020-02-23,Grocery,Survival,135.0,Quezon City,Metro Manila,National Capital Region,E2020-113
2020-02-23,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-114
2020-02-23,Food/Drinks,Optional,3.0,Quezon City,Metro Manila,National Capital Region,E2020-115
2020-02-24,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-116
2020-02-24,Food/Drinks,Survival,20.0,Quezon City,Metro Manila,National Capital Region,E2020-117
2020-02-24,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-118
2020-02-25,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-119
2020-02-25,Grocery,Survival,80.68,Quezon City,Metro Manila,National Capital Region,E2020-120
2020-02-25,Transportation,Survival,45.0,Quezon City,Metro Manila,National Capital Region,E2020-121
2020-02-26,Food/Drinks,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-122
2020-02-26,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-123
2020-02-26,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-124
2020-02-27,Eating/Going Out,Optional,89.0,Quezon City,Metro Manila,National Capital Region,E2020-125
2020-02-27,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-126
2020-02-27,Grocery,Survival,278.41,Quezon City,Metro Manila,National Capital Region,E2020-127
2020-02-28,Transportation,Survival,19.0,Quezon City,Metro Manila,National Capital Region,E2020-128
2020-02-28,Grocery,Survival,1055.0,Quezon City,Metro Manila,National Capital Region,E2020-129
2020-02-28,Electricity/Water,Obligation,130.68,Quezon City,Metro Manila,National Capital Region,E2020-130
2020-02-29,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-131
2020-03-01,Eating/Going Out,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-132
2020-03-01,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-133
2020-03-01,Transportation,Survival,53.0,Quezon City,Metro Manila,National Capital Region,E2020-134
2020-03-02,Eating/Going Out,Optional,150.0,Quezon City,Metro Manila,National Capital Region,E2020-135
2020-03-02,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-136
2020-03-02,Transportation,Survival,51.0,Quezon City,Metro Manila,National Capital Region,E2020-137
2020-03-03,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-138
2020-03-03,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-139
2020-03-03,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-140
2020-03-04,Eating/Going Out,Optional,118.0,Quezon City,Metro Manila,National Capital Region,E2020-141
2020-03-04,Food/Drinks,Optional,15.0,Quezon City,Metro Manila,National Capital Region,E2020-142
2020-03-04,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-143
2020-03-04,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-144
2020-03-04,Grocery,Survival,105.6,Quezon City,Metro Manila,National Capital Region,E2020-145
2020-03-05,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-146
2020-03-05,Eating/Going Out,Optional,86.0,Quezon City,Metro Manila,National Capital Region,E2020-147
2020-03-05,Grocery,Survival,294.9,Quezon City,Metro Manila,National Capital Region,E2020-148
2020-03-07,Food/Drinks,Optional,45.0,Quezon City,Metro Manila,National Capital Region,E2020-149
2020-03-07,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-150
2020-03-08,Eating/Going Out,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-151
2020-03-08,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-152
2020-03-08,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-153
2020-03-09,Food/Drinks,Optional,129.0,Quezon City,Metro Manila,National Capital Region,E2020-154
2020-03-09,Transportation,Survival,53.0,Quezon City,Metro Manila,National Capital Region,E2020-155
2020-03-09,Clothing/Shoes/Personal Items,Optional,178.0,Quezon City,Metro Manila,National Capital Region,E2020-156
2020-03-09,Transportation,Survival,52.0,Quezon City,Metro Manila,National Capital Region,E2020-157
2020-03-10,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-158
2020-03-10,Clothing/Shoes/Personal Items,Optional,175.0,Quezon City,Metro Manila,National Capital Region,E2020-159
2020-03-10,Grocery,Survival,116.0,Quezon City,Metro Manila,National Capital Region,E2020-160
2020-03-10,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-161
2020-03-11,Grocery,Survival,41.0,Quezon City,Metro Manila,National Capital Region,E2020-162
2020-03-11,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-163
2020-03-11,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-164
2020-03-12,Eating/Going Out,Optional,89.0,Quezon City,Metro Manila,National Capital Region,E2020-165
2020-03-12,Food/Drinks,Optional,99.0,Quezon City,Metro Manila,National Capital Region,E2020-166
2020-03-12,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-167
2020-03-12,Grocery,Survival,87.0,Quezon City,Metro Manila,National Capital Region,E2020-168
2020-03-12,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-169
2020-03-13,Transportation,Survival,18.0,Quezon City,Metro Manila,National Capital Region,E2020-170
2020-03-13,Grocery,Survival,900.0,Quezon City,Metro Manila,National Capital Region,E2020-171
2020-03-13,Personal care items (drugstore),Survival,827.5,Quezon City,Metro Manila,National Capital Region,E2020-172
2020-03-13,Eating/Going Out,Optional,119.0,Quezon City,Metro Manila,National Capital Region,E2020-173
2020-03-14,Food/Drinks,Optional,25.0,Quezon City,Metro Manila,National Capital Region,E2020-174
2020-03-15,Transportation,Survival,54.0,Quezon City,Metro Manila,National Capital Region,E2020-175
2020-03-15,Transportation,Survival,52.0,Quezon City,Metro Manila,National Capital Region,E2020-176
2020-03-15,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-177
2020-03-17,Transportation,Survival,18.0,Quezon City,Metro Manila,National Capital Region,E2020-178
2020-03-17,Grocery,Survival,650.0,Quezon City,Metro Manila,National Capital Region,E2020-179
2020-03-18,Phone/Internet,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-180
2020-03-18,Home,Obligation,200.0,Quezon City,Metro Manila,National Capital Region,E2020-181
2020-03-19,Entertainment/Subscriptions,Optional,159.0,Quezon City,Metro Manila,National Capital Region,E2020-182
2020-03-19,Food/Drinks,Optional,25.0,Quezon City,Metro Manila,National Capital Region,E2020-183
2020-03-20,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-184
2020-03-21,Food/Drinks,Optional,45.0,Quezon City,Metro Manila,National Capital Region,E2020-185
2020-03-23,Grocery,Survival,937.35,Quezon City,Metro Manila,National Capital Region,E2020-186
2020-03-23,Phone/Internet,Optional,103.0,Quezon City,Metro Manila,National Capital Region,E2020-187
2020-03-26,Food/Drinks,Optional,23.0,Quezon City,Metro Manila,National Capital Region,E2020-188
2020-03-28,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-189
2020-03-28,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-190
2020-03-29,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-191
2020-03-31,Grocery,Survival,958.32,Quezon City,Metro Manila,National Capital Region,E2020-192
2020-04-01,Entertainment/Subscriptions,Optional,159.0,Quezon City,Metro Manila,National Capital Region,E2020-193
2020-04-01,Food/Drinks,Optional,11.0,Quezon City,Metro Manila,National Capital Region,E2020-194
2020-04-01,Food/Drinks,Optional,6.0,Quezon City,Metro Manila,National Capital Region,E2020-195
2020-04-02,Others,Optional,5390.4,Quezon City,Metro Manila,National Capital Region,E2020-196
2020-04-03,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-197
2020-04-04,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-198
2020-04-04,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-199
2020-04-05,Phone/Internet,Optional,140.0,Quezon City,Metro Manila,National Capital Region,E2020-200
2020-04-05,Grocery,Survival,425.5,Quezon City,Metro Manila,National Capital Region,E2020-201
2020-04-06,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-202
2020-04-09,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-203
2020-04-10,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-204
2020-04-11,Grocery,Survival,666.06,Quezon City,Metro Manila,National Capital Region,E2020-205
2020-04-12,Food/Drinks,Optional,10.0,Quezon City,Metro Manila,National Capital Region,E2020-206
2020-04-13,Food/Drinks,Optional,6.0,Quezon City,Metro Manila,National Capital Region,E2020-207
2020-04-13,Others,Optional,23.0,Quezon City,Metro Manila,National Capital Region,E2020-208
2020-05-02,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-209
2020-05-03,Grocery,Survival,601.83,Quezon City,Metro Manila,National Capital Region,E2020-210
2020-05-06,Food/Drinks,Optional,23.0,Quezon City,Metro Manila,National Capital Region,E2020-211
2020-05-09,Food/Drinks,Optional,23.0,Quezon City,Metro Manila,National Capital Region,E2020-212
2020-05-09,Clothing/Shoes/Personal Items,Optional,469.0,Quezon City,Metro Manila,National Capital Region,E2020-213
2020-05-09,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-214
2020-05-10,Grocery,Survival,1000.0,Quezon City,Metro Manila,National Capital Region,E2020-215
2020-05-14,Food/Drinks,Optional,26.0,Quezon City,Metro Manila,National Capital Region,E2020-216
2020-05-15,Grocery,Survival,1172.02,Quezon City,Metro Manila,National Capital Region,E2020-217
2020-05-16,Phone/Internet,Optional,85.0,Quezon City,Metro Manila,National Capital Region,E2020-218
2020-05-16,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-219
2020-05-17,Phone/Internet,Optional,99.0,Quezon City,Metro Manila,National Capital Region,E2020-220
2020-05-17,Phone/Internet,Obligation,225.0,Quezon City,Metro Manila,National Capital Region,E2020-221
2020-05-17,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-222
2020-05-17,Grocery,Survival,1000.0,Quezon City,Metro Manila,National Capital Region,E2020-223
2020-05-18,Phone/Internet,Optional,100.0,Quezon City,Metro Manila,National Capital Region,E2020-224
2020-05-19,Grocery,Survival,793.08,Quezon City,Metro Manila,National Capital Region,E2020-225
2020-05-19,Home,Obligation,300.0,Quezon City,Metro Manila,National Capital Region,E2020-226
2020-05-20,Food/Drinks,Survival,103.0,Quezon City,Metro Manila,National Capital Region,E2020-227
2020-05-20,Electricity/Water,Obligation,420.0,Quezon City,Metro Manila,National Capital Region,E2020-228
2020-05-21,Phone/Internet,Optional,20.0,Quezon City,Metro Manila,National Capital Region,E2020-229
2020-05-22,Clothing/Shoes/Personal Items,Optional,1044.0,Quezon City,Metro Manila,National Capital Region,E2020-230
2020-05-22,Food/Drinks,Optional,25.0,Quezon City,Metro Manila,National Capital Region,E2020-231
2020-05-22,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-232
2020-05-23,Home,Obligation,200.0,Quezon City,Metro Manila,National Capital Region,E2020-233
2020-05-23,Food/Drinks,Survival,52.0,Quezon City,Metro Manila,National Capital Region,E2020-234
2020-05-24,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-235
2020-05-24,Grocery,Survival,665.48,Quezon City,Metro Manila,National Capital Region,E2020-236
2020-05-24,Food/Drinks,Optional,6.0,Quezon City,Metro Manila,National Capital Region,E2020-237
2020-05-25,Phone/Internet,Optional,199.0,Quezon City,Metro Manila,National Capital Region,E2020-238
2020-05-28,Entertainment/Subscriptions,Optional,150.0,Quezon City,Metro Manila,National Capital Region,E2020-239
2020-05-29,Clothing/Shoes/Personal Items,Optional,259.0,Quezon City,Metro Manila,National Capital Region,E2020-240
2020-05-29,Grocery,Survival,604.26,Quezon City,Metro Manila,National Capital Region,E2020-241
2020-05-29,Food/Drinks,Optional,10.0,Quezon City,Metro Manila,National Capital Region,E2020-242
2020-05-30,Food/Drinks,Optional,10.0,Quezon City,Metro Manila,National Capital Region,E2020-243
2020-06-01,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-244
2020-06-03,Grocery,Survival,1038.35,Quezon City,Metro Manila,National Capital Region,E2020-245
2020-06-05,Food/Drinks,Survival,113.0,Quezon City,Metro Manila,National Capital Region,E2020-246
2020-06-06,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-247
2020-06-08,Phone/Internet,Optional,199.0,Quezon City,Metro Manila,National Capital Region,E2020-248
2020-06-09,Grocery,Survival,815.0,Quezon City,Metro Manila,National Capital Region,E2020-249
2020-06-12,Food/Drinks,Optional,25.0,Quezon City,Metro Manila,National Capital Region,E2020-250
2020-06-14,Phone/Internet,Optional,199.0,Quezon City,Metro Manila,National Capital Region,E2020-251
2020-06-14,Grocery,Survival,850.0,Quezon City,Metro Manila,National Capital Region,E2020-252
2020-06-15,Phone/Internet,Optional,15.0,Quezon City,Metro Manila,National Capital Region,E2020-253
2020-06-15,Food/Drinks,Optional,3.0,Quezon City,Metro Manila,National Capital Region,E2020-254
2020-06-21,Grocery,Survival,1000.0,Quezon City,Metro Manila,National Capital Region,E2020-255
2020-06-22,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-256
2020-06-24,Entertainment/Subscriptions,Optional,344.0,Quezon City,Metro Manila,National Capital Region,E2020-257
2020-06-24,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-258
2020-06-25,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-259
2020-06-27,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-260
2020-06-27,Grocery,Survival,610.83,Quezon City,Metro Manila,National Capital Region,E2020-261
2020-06-29,Phone/Internet,Optional,199.0,Quezon City,Metro Manila,National Capital Region,E2020-262
2020-07-01,Electricity/Water,Obligation,522.72,Quezon City,Metro Manila,National Capital Region,E2020-263
2020-07-02,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-264
2020-07-02,Transportation,Survival,129.0,Quezon City,Metro Manila,National Capital Region,E2020-265
2020-07-02,Food/Drinks,Survival,119.0,Quezon City,Metro Manila,National Capital Region,E2020-266
2020-07-03,Transportation,Survival,96.0,Quezon City,Metro Manila,National Capital Region,E2020-267
2020-07-03,Others,Survival,170.0,Quezon City,Metro Manila,National Capital Region,E2020-268
2020-07-03,Grocery,Survival,310.3,Quezon City,Metro Manila,National Capital Region,E2020-269
2020-07-03,Magazines/Newspapers/Books,Optional,160.0,Quezon City,Metro Manila,National Capital Region,E2020-270
2020-07-05,Grocery,Survival,437.0,Quezon City,Metro Manila,National Capital Region,E2020-271
2020-07-05,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-272
2020-07-06,Food/Drinks,Survival,130.0,Quezon City,Metro Manila,National Capital Region,E2020-273
2020-07-07,Food/Drinks,Survival,100.0,Quezon City,Metro Manila,National Capital Region,E2020-274
2020-07-08,Food/Drinks,Survival,99.0,Quezon City,Metro Manila,National Capital Region,E2020-275
2020-07-08,Apartment,Obligation,4000.0,Quezon City,Metro Manila,National Capital Region,E2020-276
2020-07-09,Transportation,Survival,35.0,Quezon City,Metro Manila,National Capital Region,E2020-277
2020-07-09,Food/Drinks,Survival,86.0,Quezon City,Metro Manila,National Capital Region,E2020-278
2020-07-10,Transportation,Survival,59.0,Quezon City,Metro Manila,National Capital Region,E2020-279
2020-07-10,Food/Drinks,Survival,89.0,Quezon City,Metro Manila,National Capital Region,E2020-280
2020-07-11,Transportation,Survival,81.0,Quezon City,Metro Manila,National Capital Region,E2020-281
2020-07-11,Grocery,Survival,845.65,Quezon City,Metro Manila,National Capital Region,E2020-282
2020-07-12,Phone/Internet,Optional,90.0,Quezon City,Metro Manila,National Capital Region,E2020-283
2020-07-13,Transportation,Survival,59.0,Quezon City,Metro Manila,National Capital Region,E2020-284
2020-07-13,Food/Drinks,Survival,89.0,Quezon City,Metro Manila,National Capital Region,E2020-285
2020-07-14,Transportation,Survival,59.0,Quezon City,Metro Manila,National Capital Region,E2020-286
2020-07-14,Food/Drinks,Survival,89.0,Quezon City,Metro Manila,National Capital Region,E2020-287
2020-07-15,Transportation,Survival,59.0,Quezon City,Metro Manila,National Capital Region,E2020-288
2020-07-15,Food/Drinks,Survival,89.0,Quezon City,Metro Manila,National Capital Region,E2020-289
2020-07-16,Transportation,Survival,59.0,Quezon City,Metro Manila,National Capital Region,E2020-290
2020-07-16,Food/Drinks,Optional,45.0,Quezon City,Metro Manila,National Capital Region,E2020-291
